wavenumber(cm-1),absorption_coefficient(none),err,quality
48.9389,84.0555,0,
49.1800,84.8412,0,
49.4211,85.6293,0,
49.6622,86.4202,0,
49.9032,87.2139,0,
50.1443,88.0163,0,
50.3854,88.8205,0,
50.6265,89.6260,0,
50.8676,90.4322,0,
51.1086,91.2393,0,
51.3497,92.0477,0,
51.5908,92.8571,0,
51.8319,93.6663,0,
52.0729,94.4743,0,
52.3140,95.2807,0,
52.5551,96.0858,0,
52.7962,96.8890,0,
53.0373,97.6894,0,
53.2783,98.4914,0,
53.5194,99.2924,0,
53.7605,100.0932,0,
54.0016,100.8941,0,
54.2427,101.6946,0,
54.4837,102.4941,0,
54.7248,103.2929,0,
54.9659,104.0922,0,
55.2070,104.8921,0,
55.4481,105.6921,0,
55.6891,106.4917,0,
55.9302,107.2910,0,
56.1713,108.0910,0,
56.4124,108.8921,0,
56.6534,109.6937,0,
56.8945,110.4952,0,
57.1356,111.2969,0,
57.3767,112.0994,0,
57.6178,112.9034,0,
57.8588,113.7082,0,
58.0999,114.5132,0,
58.3410,115.3185,0,
58.5821,116.1247,0,
58.8231,116.9323,0,
59.0642,117.7407,0,
59.3053,118.5491,0,
59.5464,119.3575,0,
59.7875,120.1665,0,
60.0285,120.9768,0,
60.2696,121.7876,0,
60.5107,122.5982,0,
60.7518,123.4084,0,
60.9928,124.2190,0,
61.2339,125.0307,0,
61.4750,125.8429,0,
61.7161,126.6549,0,
61.9572,127.4664,0,
62.1983,128.2781,0,
62.4393,129.0902,0,
62.6804,129.9024,0,
62.9215,130.7137,0,
63.1626,131.5238,0,
63.4036,132.3335,0,
63.6447,133.1433,0,
63.8858,133.9531,0,
64.1269,134.7620,0,
64.3679,135.5701,0,
64.6090,136.3780,0,
64.8501,137.1866,0,
65.0912,137.9962,0,
65.3323,138.8060,0,
65.5734,139.6162,0,
65.8144,140.4275,0,
66.0555,141.2409,0,
66.2966,142.0565,0,
66.5377,142.8738,0,
66.7787,143.6925,0,
67.0198,144.5133,0,
67.2609,145.3368,0,
67.5020,146.1632,0,
67.7430,146.9914,0,
67.9841,147.8212,0,
68.2252,148.6527,0,
68.4663,149.4866,0,
68.7074,150.3224,0,
68.9484,151.1594,0,
69.1895,151.9969,0,
69.4306,152.8354,0,
69.6717,153.6756,0,
69.9128,154.5173,0,
70.1538,155.3600,0,
70.3949,156.2036,0,
70.6360,157.0489,0,
70.8771,157.8974,0,
71.1181,158.7498,0,
71.3592,159.6062,0,
71.6003,160.4666,0,
71.8414,161.3319,0,
72.0825,162.2035,0,
72.3235,163.0818,0,
72.5646,163.9660,0,
72.8057,164.8550,0,
73.0468,165.7480,0,
73.2879,166.6449,0,
73.5289,167.5446,0,
73.7700,168.4445,0,
74.0111,169.3420,0,
74.2522,170.2353,0,
74.4933,171.1232,0,
74.7343,172.0039,0,
74.9754,172.8750,0,
75.2165,173.7346,0,
75.4576,174.5820,0,
75.6986,175.4176,0,
75.9397,176.2417,0,
76.1808,177.0545,0,
76.4219,177.8565,0,
76.6630,178.6492,0,
76.9040,179.4350,0,
77.1451,180.2160,0,
77.3862,180.9934,0,
77.6273,181.7684,0,
77.8684,182.5429,0,
78.1094,183.3190,0,
78.3505,184.0975,0,
78.5916,184.8781,0,
78.8327,185.6598,0,
79.0737,186.4421,0,
79.3148,187.2247,0,
79.5559,188.0064,0,
79.7970,188.7849,0,
80.0380,189.5580,0,
80.2791,190.3245,0,
80.5202,191.0841,0,
80.7613,191.8370,0,
81.0024,192.5824,0,
81.2434,193.3198,0,
81.4845,194.0500,0,
81.7256,194.7756,0,
81.9667,195.4992,0,
82.2078,196.2225,0,
82.4488,196.9470,0,
82.6899,197.6745,0,
82.9310,198.4075,0,
83.1721,199.1482,0,
83.4132,199.8969,0,
83.6542,200.6533,0,
83.8953,201.4168,0,
84.1364,202.1870,0,
84.3775,202.9636,0,
84.6185,203.7449,0,
84.8596,204.5287,0,
85.1007,205.3126,0,
85.3418,206.0955,0,
85.5829,206.8763,0,
85.8239,207.6538,0,
86.0650,208.4263,0,
86.3061,209.1930,0,
86.5472,209.9543,0,
86.7883,210.7108,0,
87.0293,211.4627,0,
87.2704,212.2098,0,
87.5115,212.9526,0,
87.7526,213.6925,0,
87.9936,214.4309,0,
88.2347,215.1683,0,
88.4758,215.9048,0,
88.7169,216.6403,0,
88.9580,217.3754,0,
89.1990,218.1108,0,
89.4401,218.8461,0,
89.6812,219.5799,0,
89.9223,220.3113,0,
90.1633,221.0405,0,
90.4044,221.7682,0,
90.6455,222.4948,0,
90.8866,223.2199,0,
91.1277,223.9432,0,
91.3687,224.6658,0,
91.6098,225.3891,0,
91.8509,226.1143,0,
92.0920,226.8417,0,
92.3331,227.5715,0,
92.5741,228.3040,0,
92.8152,229.0398,0,
93.0563,229.7792,0,
93.2974,230.5214,0,
93.5384,231.2650,0,
93.7795,232.0090,0,
94.0206,232.7528,0,
94.2617,233.4956,0,
94.5028,234.2354,0,
