# Two-band fit (min. chi^2) for beta = 1.50000, 1.75000, 2.00000
# Bands used: ALMA_6 ALMA_3
#     z| beta| Treal| wl_rest_1| wl_rest_2|   Tfit|     Mfit|    dMfit|

    7.00  1.75   25.0     160.83     384.35   25.38  3.94E+08  3.43E+07
    7.00  1.75   30.0     160.83     384.35   29.88  4.56E+08  3.94E+07
    7.00  1.75   35.0     160.83     384.35   34.08  4.95E+08  4.31E+07
    7.00  1.75   40.0     160.83     384.35   37.63  5.44E+08  4.74E+07
    7.00  1.75   45.0     160.83     384.35   40.91  5.88E+08  5.13E+07
    7.00  1.75   50.0     160.83     384.35   43.74  6.37E+08  5.48E+07
    7.00  1.75   60.0     160.83     384.35   47.73  7.66E+08  6.61E+07
    7.00  1.75   80.0     160.83     384.35   51.89  1.09E+09  9.59E+07
    7.00  1.75  100.0     160.83     384.35   52.41  1.57E+09  1.37E+08

    7.00  2.00   30.0     160.83     384.35   22.95  2.78E+09  2.40E+08
    7.00  2.00   35.0     160.83     384.35   25.62  1.37E+09  1.19E+08
    7.00  2.00   40.0     160.83     384.35   27.73  1.25E+09  1.09E+08
    7.00  2.00   45.0     160.83     384.35   29.57  1.24E+09  1.09E+08
    7.00  2.00   50.0     160.83     384.35   31.08  1.29E+09  1.11E+08
    7.00  2.00   60.0     160.83     384.35   33.10  1.51E+09  1.30E+08
    7.00  2.00   80.0     160.83     384.35   35.07  2.13E+09  1.87E+08
    7.00  2.00  100.0     160.83     384.35   35.31  3.05E+09  2.67E+08


