wavenumber(cm-1),absorption_coefficient(none),err,quality
56.8945,111.4313,0,
57.1356,112.1746,0,
57.3767,112.9183,0,
57.6178,113.6626,0,
57.8588,114.4069,0,
58.0999,115.1502,0,
58.3410,115.8928,0,
58.5821,116.6354,0,
58.8231,117.3786,0,
59.0642,118.1221,0,
59.3053,118.8651,0,
59.5464,119.6076,0,
59.7875,120.3503,0,
60.0285,121.0939,0,
60.2696,121.8379,0,
60.5107,122.5815,0,
60.7518,123.3247,0,
60.9928,124.0680,0,
61.2339,124.8119,0,
61.4750,125.5563,0,
61.7161,126.3003,0,
61.9572,127.0439,0,
62.1983,127.7875,0,
62.4393,128.5319,0,
62.6804,129.2769,0,
62.9215,130.0214,0,
63.1626,130.7652,0,
63.4036,131.5089,0,
63.6447,132.2531,0,
63.8858,132.9976,0,
64.1269,133.7417,0,
64.3679,134.4851,0,
64.6090,135.2282,0,
64.8501,135.9718,0,
65.0912,136.7161,0,
65.3323,137.4606,0,
65.5734,138.2053,0,
65.8144,138.9505,0,
66.0555,139.6971,0,
66.2966,140.4450,0,
66.5377,141.1937,0,
66.7787,141.9425,0,
67.0198,142.6918,0,
67.2609,143.4418,0,
67.5020,144.1924,0,
67.7430,144.9424,0,
67.9841,145.6915,0,
68.2252,146.4398,0,
68.4663,147.1881,0,
68.7074,147.9365,0,
68.9484,148.6845,0,
69.1895,149.4320,0,
69.4306,150.1795,0,
69.6717,150.9282,0,
69.9128,151.6782,0,
70.1538,152.4293,0,
70.3949,153.1812,0,
70.6360,153.9345,0,
70.8771,154.6902,0,
71.1181,155.4484,0,
71.3592,156.2086,0,
71.6003,156.9701,0,
71.8414,157.7331,0,
72.0825,158.4979,0,
72.3235,159.2648,0,
72.5646,160.0329,0,
72.8057,160.8012,0,
73.0468,161.5695,0,
73.2879,162.3382,0,
73.5289,163.1079,0,
73.7700,163.8779,0,
74.0111,164.6478,0,
74.2522,165.4176,0,
74.4933,166.1882,0,
74.7343,166.9606,0,
74.9754,167.7347,0,
75.2165,168.5103,0,
75.4576,169.2876,0,
75.6986,170.0675,0,
75.9397,170.8504,0,
76.1808,171.6363,0,
76.4219,172.4245,0,
76.6630,173.2143,0,
76.9040,174.0057,0,
77.1451,174.7985,0,
77.3862,175.5919,0,
77.6273,176.3848,0,
77.8684,177.1762,0,
78.1094,177.9661,0,
78.3505,178.7542,0,
78.5916,179.5401,0,
78.8327,180.3230,0,
79.0737,181.1030,0,
79.3148,181.8805,0,
79.5559,182.6562,0,
79.7970,183.4300,0,
80.0380,184.2010,0,
80.2791,184.9694,0,
80.5202,185.7356,0,
80.7613,186.5001,0,
81.0024,187.2629,0,
81.2434,188.0234,0,
81.4845,188.7813,0,
81.7256,189.5372,0,
81.9667,190.2914,0,
82.2078,191.0434,0,
82.4488,191.7922,0,
82.6899,192.5371,0,
82.9310,193.2781,0,
83.1721,194.0157,0,
83.4132,194.7500,0,
83.6542,195.4803,0,
83.8953,196.2065,0,
84.1364,196.9290,0,
84.3775,197.6487,0,
84.6185,198.3664,0,
84.8596,199.0826,0,
85.1007,199.7974,0,
85.3418,200.5115,0,
85.5829,201.2260,0,
85.8239,201.9414,0,
86.0650,202.6579,0,
86.3061,203.3753,0,
86.5472,204.0937,0,
86.7883,204.8135,0,
87.0293,205.5348,0,
87.2704,206.2567,0,
87.5115,206.9785,0,
87.7526,207.6998,0,
87.9936,208.4208,0,
88.2347,209.1413,0,
88.4758,209.8606,0,
88.7169,210.5779,0,
88.9580,211.2932,0,
89.1990,212.0067,0,
89.4401,212.7189,0,
89.6812,213.4298,0,
89.9223,214.1396,0,
90.1633,214.8490,0,
90.4044,215.5593,0,
90.6455,216.2712,0,
90.8866,216.9849,0,
91.1277,217.7004,0,
91.3687,218.4185,0,
91.6098,219.1399,0,
91.8509,219.8649,0,
92.0920,220.5931,0,
92.3331,221.3234,0,
92.5741,222.0557,0,
92.8152,222.7897,0,
93.0563,223.5251,0,
93.2974,224.2604,0,
93.5384,224.9941,0,
93.7795,225.7253,0,
94.0206,226.4539,0,
94.2617,227.1800,0,
94.5028,227.9031,0,
94.7438,228.6226,0,
94.9849,229.3385,0,
95.2260,230.0510,0,
95.4671,230.7605,0,
95.7082,231.4669,0,
95.9492,232.1700,0,
96.1903,232.8701,0,
96.4314,233.5680,0,
96.6725,234.2645,0,
96.9136,234.9594,0,
97.1546,235.6522,0,
97.3957,236.3423,0,
97.6368,237.0299,0,
97.8779,237.7144,0,
98.1189,238.3950,0,
98.3600,239.0704,0,
98.6011,239.7399,0,
98.8422,240.4032,0,
99.0833,241.0602,0,
99.3243,241.7107,0,
99.5654,242.3541,0,
99.8065,242.9906,0,
100.0476,243.6211,0,
100.2887,244.2469,0,
100.5297,244.8688,0,
100.7708,245.4871,0,
101.0119,246.1030,0,
101.2530,246.7182,0,
101.4940,247.3339,0,
101.7351,247.9507,0,
101.9762,248.5685,0,
102.2173,249.1872,0,
102.4583,249.8071,0,
102.6994,250.4285,0,
102.9405,251.0504,0,
103.1816,251.6717,0,
103.4227,252.2918,0,
103.6637,252.9106,0,
103.9048,253.5281,0,
104.1459,254.1436,0,
104.3870,254.7560,0,
104.6281,255.3647,0,
104.8691,255.9699,0,
105.1102,256.5724,0,
105.3513,257.1726,0,
105.5924,257.7704,0,
105.8334,258.3665,0,
106.0745,258.9625,0,
106.3156,259.6087,0,
106.5567,260.2558,0,
106.7978,260.9035,0,
107.0388,261.5520,0,
107.2799,262.2016,0,
107.5210,262.8528,0,
107.7621,263.5051,0,
108.0032,264.1569,0,
108.2442,264.8069,0,
108.4853,265.4541,0,
108.7264,266.0981,0,
108.9675,266.7378,0,
109.2086,267.3720,0,
109.4496,267.9995,0,
109.6907,268.6205,0,
109.9318,269.2358,0,
110.1729,269.8458,0,
110.4139,270.4499,0,
110.6550,271.0479,0,
110.8961,271.6408,0,
111.1372,272.2303,0,
111.3783,272.8176,0,
111.6193,273.4013,0,
111.8604,273.9810,0,
112.1015,274.5573,0,
112.3426,275.1315,0,
112.5837,275.7041,0,
112.8247,276.2743,0,
113.0658,276.8407,0,
113.3069,277.4029,0,
113.5480,277.9616,0,
113.7890,278.5167,0,
114.0301,279.0669,0,
114.2712,279.5615,0,
114.5123,280.0504,0,
114.7533,280.5343,0,
114.9944,281.0135,0,
115.2355,281.4866,0,
115.4766,281.9520,0,
115.7177,282.4099,0,
115.9587,282.8619,0,
116.1998,283.3095,0,
116.4409,283.7527,0,
116.6820,284.1912,0,
116.9231,284.6257,0,
117.1641,285.0578,0,
117.4052,285.4889,0,
117.6463,285.9189,0,
117.8874,286.3466,0,
118.1285,286.7717,0,
118.3695,287.1952,0,
118.6106,287.6182,0,
118.8517,288.0404,0,
119.0928,288.4604,0,
119.3338,288.8779,0,
119.5749,289.2949,0,
119.8160,289.7127,0,
120.0571,290.1306,0,
120.2982,290.5473,0,
120.5392,290.9624,0,
120.7803,291.3773,0,
121.0214,291.7935,0,
121.2625,292.2108,0,
121.5036,292.6277,0,
121.7446,293.0433,0,
121.9857,293.4583,0,
122.2268,293.8738,0,
122.4679,294.2889,0,
122.7089,294.7021,0,
122.9500,295.1122,0,
123.1911,295.5202,0,
123.4322,295.9276,0,
123.6733,296.3347,0,
123.9143,296.7405,0,
124.1554,297.1441,0,
124.3965,297.5465,0,
124.6376,297.9490,0,
124.8786,298.3515,0,
125.1197,298.7528,0,
125.3608,299.1515,0,
125.6019,299.5483,0,
125.8430,299.9444,0,
126.0840,300.3403,0,
126.3251,300.7345,0,
126.5662,301.1261,0,
126.8073,301.5155,0,
127.0484,301.9039,0,
127.2894,302.2915,0,
127.5305,302.6772,0,
127.7716,303.0601,0,
