wavenumber(cm-1),absorption_coefficient(none),err,quality
73.7700,106.2704,0,
74.2522,107.9305,0,
74.7343,109.6166,0,
75.2165,111.3293,0,
75.6986,113.0685,0,
76.1808,114.8287,0,
76.6630,116.6066,0,
77.1451,118.3969,0,
77.6273,120.1906,0,
78.1094,121.9828,0,
78.5916,123.7657,0,
79.0737,125.5291,0,
79.5559,127.2687,0,
80.0380,128.9776,0,
80.5202,130.6507,0,
81.0024,132.2901,0,
81.4845,133.8941,0,
81.9667,135.4621,0,
82.4488,136.9994,0,
82.9310,138.5106,0,
83.4132,140.0040,0,
83.8953,141.4903,0,
84.3775,142.9764,0,
84.8596,144.4690,0,
85.3418,145.9734,0,
85.8239,147.4953,0,
86.3061,149.0439,0,
86.7883,150.6221,0,
87.2704,152.2294,0,
87.7526,153.8653,0,
88.2347,155.5226,0,
88.7169,157.1952,0,
89.1990,158.8823,0,
89.6812,160.5762,0,
90.1633,162.2658,0,
90.6455,163.9443,0,
91.1277,165.6036,0,
91.6098,167.2430,0,
92.0920,168.8722,0,
92.5741,170.4979,0,
93.0563,172.1218,0,
93.5384,173.7442,0,
94.0206,175.3686,0,
94.5028,177.0008,0,
94.9849,178.6395,0,
95.4671,180.2827,0,
95.9492,181.9330,0,
96.4314,183.5882,0,
96.9136,185.2444,0,
97.3957,186.8992,0,
97.8779,188.5494,0,
98.3600,190.1956,0,
98.8422,191.8385,0,
99.3243,193.4706,0,
99.8065,195.0877,0,
100.2887,196.6906,0,
100.7708,198.2781,0,
101.2530,199.8541,0,
101.7351,201.4217,0,
102.2173,202.9788,0,
102.6994,204.5281,0,
103.1816,206.0737,0,
103.6637,207.6164,0,
104.1459,209.1569,0,
104.6281,210.6925,0,
105.1102,212.2206,0,
105.5924,213.7464,0,
106.0745,215.2735,0,
106.5567,216.8047,0,
107.0388,218.3389,0,
107.5210,219.8696,0,
108.0032,221.3952,0,
108.4853,222.9153,0,
108.9675,224.4250,0,
109.4496,225.9259,0,
109.9318,227.4250,0,
110.4139,228.9214,0,
110.8961,230.4107,0,
111.3783,231.8892,0,
111.8604,233.3585,0,
112.3426,234.8264,0,
112.8247,236.2965,0,
113.3069,237.7710,0,
113.7890,239.2551,0,
114.2712,240.7464,0,
114.7533,242.2372,0,
115.2355,243.7245,0,
115.7177,245.2054,0,
116.1998,246.6815,0,
116.6820,248.1563,0,
117.1641,249.6227,0,
117.6463,251.0742,0,
118.1285,252.5154,0,
118.6106,253.9473,0,
119.0928,255.3653,0,
119.5749,256.7745,0,
120.0571,258.1866,0,
120.5392,259.6028,0,
121.0214,261.0246,0,
121.5036,262.4652,0,
121.9857,263.9293,0,
122.4679,265.4065,0,
122.9500,266.8981,0,
123.4322,268.4188,0,
123.9143,269.9754,0,
124.3965,271.5707,0,
124.8786,273.2065,0,
