wavenumber(cm-1),absorption_coefficient(none),err,quality
67.9841,88.1099,0,
68.4663,89.1046,0,
68.9484,90.1020,0,
69.4306,91.1030,0,
69.9128,92.1129,0,
70.3949,93.1355,0,
70.8771,94.1707,0,
71.3592,95.2208,0,
71.8414,96.2845,0,
72.3235,97.3574,0,
72.8057,98.4367,0,
73.2879,99.5141,0,
73.7700,100.5782,0,
74.2522,101.6187,0,
74.7343,102.6202,0,
75.2165,103.7462,0,
75.6986,104.6015,0,
76.1808,105.4231,0,
76.6630,106.2033,0,
77.1451,107.2862,0,
77.6273,108.1557,0,
78.1094,109.0266,0,
78.5916,109.9070,0,
79.0737,110.7904,0,
79.5559,111.6785,0,
80.0380,112.5788,0,
80.5202,113.4829,0,
81.0024,114.3914,0,
81.4845,115.3102,0,
81.9667,116.2386,0,
82.4488,117.1846,0,
82.9310,118.1462,0,
83.4132,119.1193,0,
83.8953,120.1167,0,
84.3775,121.1398,0,
84.8596,122.1659,0,
85.3418,123.2132,0,
85.8239,124.2777,0,
86.3061,125.3537,0,
86.7883,126.4457,0,
87.2704,127.5510,0,
87.7526,128.6639,0,
88.2347,129.7836,0,
88.7169,130.9045,0,
89.1990,132.0247,0,
89.6812,133.1457,0,
90.1633,134.2617,0,
90.6455,135.3692,0,
91.1277,136.4682,0,
91.6098,137.5548,0,
92.0920,138.6327,0,
92.5741,139.7045,0,
93.0563,140.7674,0,
93.5384,141.8226,0,
94.0206,142.8718,0,
94.5028,143.9165,0,
94.9849,144.9598,0,
95.4671,146.0037,0,
95.9492,147.0465,0,
96.4314,148.0951,0,
96.9136,149.1411,0,
97.3957,150.1874,0,
97.8779,151.2363,0,
98.3600,152.2747,0,
98.8422,153.3044,0,
99.3243,154.3319,0,
99.8065,155.3560,0,
100.2887,156.3789,0,
100.7708,157.3930,0,
101.2530,158.3955,0,
101.7351,159.3974,0,
102.2173,160.3996,0,
102.6994,161.4061,0,
103.1816,162.4199,0,
103.6637,163.4294,0,
104.1459,164.4382,0,
104.6281,165.4576,0,
105.1102,166.4791,0,
105.5924,167.4993,0,
106.0745,168.5163,0,
106.5567,169.5206,0,
107.0388,170.5144,0,
107.5210,171.4975,0,
108.0032,172.4613,0,
108.4853,173.4018,0,
108.9675,174.3124,0,
109.4496,175.1947,0,
109.9318,176.0568,0,
110.4139,176.8932,0,
110.8961,177.7043,0,
111.3783,178.4987,0,
111.8604,179.2767,0,
112.3426,180.0459,0,
112.8247,180.8132,0,
113.3069,181.5764,0,
113.7890,182.3430,0,
114.2712,183.1207,0,
114.7533,183.9100,0,
115.2355,184.7186,0,
115.7177,185.5467,0,
116.1998,186.3897,0,
116.6820,187.2535,0,
117.1641,188.1401,0,
117.6463,189.0472,0,
118.1285,189.9747,0,
118.6106,190.9160,0,
119.0928,191.8699,0,
119.5749,192.8407,0,
120.0571,193.8257,0,
120.5392,194.8252,0,
121.0214,195.8376,0,
121.5036,196.8568,0,
121.9857,197.8901,0,
122.4679,198.9429,0,
122.9500,200.0086,0,
123.4322,201.0888,0,
123.9143,202.1833,0,
124.3965,203.2888,0,
124.8786,204.4131,0,
125.3608,205.5587,0,
125.8430,206.7196,0,
126.3251,207.8942,0,
126.8073,209.0807,0,
127.2894,210.2825,0,
127.7716,211.5033,0,
128.2537,212.7375,0,
128.7359,213.9845,0,
129.2181,215.2438,0,
129.7002,216.5102,0,
130.1824,217.7895,0,
130.6645,219.0835,0,
131.1467,220.3839,0,
131.6288,221.6926,0,
132.1110,223.0117,0,
132.5932,224.3393,0,
133.0753,225.6784,0,
133.5575,227.0254,0,
134.0396,228.3764,0,
134.5218,229.7336,0,
135.0040,231.0967,0,
135.4861,232.4658,0,
135.9683,233.8416,0,
136.4504,235.2181,0,
136.9326,236.5943,0,
137.4147,237.9742,0,
137.8969,239.3571,0,
138.3790,240.7435,0,
138.8612,242.1311,0,
139.3434,243.5152,0,
139.8255,244.8984,0,
140.3077,246.2814,0,
140.7898,247.6612,0,
141.2720,249.0399,0,
141.7541,250.4156,0,
142.2363,251.7867,0,
142.7185,253.1597,0,
143.2006,254.5347,0,
143.6828,255.9078,0,
144.1649,257.2810,0,
144.6471,258.6542,0,
145.1292,260.0277,0,
145.6114,261.4040,0,
146.0936,262.7803,0,
146.5757,264.1545,0,
147.0579,265.5256,0,
147.5400,266.8935,0,
