wavenumber(cm-1),absorption_coefficient(none),err,quality
10.0039,3.7355,0,
10.1245,3.7533,0,
10.2450,3.7724,0,
10.3655,3.7940,0,
10.4861,3.8185,0,
10.6066,3.8455,0,
10.7271,3.8747,0,
10.8476,3.9057,0,
10.9682,3.9388,0,
11.0887,3.9743,0,
11.2092,4.0128,0,
11.3298,4.0550,0,
11.4503,4.1009,0,
11.5708,4.1503,0,
11.6913,4.2025,0,
11.8119,4.2568,0,
11.9324,4.3127,0,
12.0529,4.3697,0,
12.1735,4.4279,0,
12.2940,4.4873,0,
12.4145,4.5477,0,
12.5351,4.6088,0,
12.6556,4.6703,0,
12.7761,4.7322,0,
12.8966,4.7945,0,
13.0172,4.8576,0,
13.1377,4.9218,0,
13.2582,4.9868,0,
13.3788,5.0523,0,
13.4993,5.1173,0,
13.6198,5.1812,0,
13.7403,5.2439,0,
13.8609,5.3058,0,
13.9814,5.3678,0,
14.1019,5.4310,0,
14.2225,5.4962,0,
14.3430,5.5638,0,
14.4635,5.6337,0,
14.5840,5.7056,0,
14.7046,5.7791,0,
14.8251,5.8543,0,
14.9456,5.9318,0,
15.0662,6.0125,0,
15.1867,6.0970,0,
15.3072,6.1855,0,
15.4277,6.2775,0,
15.5483,6.3723,0,
15.6688,6.4691,0,
15.7893,6.5669,0,
15.9099,6.6652,0,
16.0304,6.7633,0,
16.1509,6.8608,0,
16.2715,6.9570,0,
16.3920,7.0513,0,
16.5125,7.1434,0,
16.6331,7.2331,0,
16.7536,7.3201,0,
16.8741,7.4046,0,
16.9946,7.4865,0,
17.1152,7.5656,0,
17.2357,7.6421,0,
17.3562,7.7161,0,
17.4767,7.7889,0,
17.5973,7.8621,0,
17.7178,7.9374,0,
17.8383,8.0162,0,
17.9589,8.0996,0,
18.0794,8.1878,0,
18.1999,8.2806,0,
18.3205,8.3777,0,
18.4410,8.4789,0,
18.5615,8.5842,0,
18.6821,8.6941,0,
18.8026,8.8090,0,
18.9231,8.9290,0,
19.0436,9.0544,0,
19.1642,9.1847,0,
19.2847,9.3195,0,
19.4052,9.4580,0,
19.5257,9.5997,0,
19.6463,9.7441,0,
19.7668,9.8907,0,
19.8873,10.0393,0,
20.0079,10.1896,0,
20.1284,10.3412,0,
20.2489,10.4940,0,
20.3695,10.6476,0,
20.4900,10.8017,0,
20.6105,10.9559,0,
20.7310,11.1100,0,
20.8516,11.2633,0,
20.9721,11.4154,0,
21.0926,11.5661,0,
21.2132,11.7158,0,
21.3337,11.8651,0,
21.4542,12.0150,0,
21.5748,12.1661,0,
21.6953,12.3191,0,
21.8158,12.4738,0,
21.9363,12.6303,0,
22.0569,12.7882,0,
22.1774,12.9476,0,
22.2979,13.1088,0,
22.4184,13.2723,0,
22.5390,13.4387,0,
22.6595,13.6084,0,
22.7800,13.7815,0,
22.9006,13.9580,0,
23.0211,14.1373,0,
23.1416,14.3189,0,
23.2622,14.5024,0,
23.3827,14.6874,0,
23.5032,14.8738,0,
23.6238,15.0618,0,
23.7443,15.2515,0,
23.8648,15.4425,0,
23.9853,15.6344,0,
24.1059,15.8267,0,
24.2264,16.0183,0,
24.3469,16.2083,0,
24.4674,16.3960,0,
24.5880,16.5803,0,
24.7085,16.7603,0,
24.8290,16.9354,0,
24.9496,17.1054,0,
25.0701,17.2702,0,
25.1906,17.4304,0,
25.3112,17.5866,0,
25.4317,17.7398,0,
25.5522,17.8908,0,
25.6728,18.0405,0,
25.7933,18.1901,0,
25.9138,18.3408,0,
26.0343,18.4943,0,
26.1549,18.6519,0,
26.2754,18.8151,0,
26.3959,18.9849,0,
26.5164,19.1619,0,
26.6370,19.3462,0,
26.7575,19.5372,0,
26.8780,19.7337,0,
26.9986,19.9343,0,
27.1191,20.1375,0,
27.2396,20.3419,0,
27.3602,20.5461,0,
27.4807,20.7495,0,
27.6012,20.9517,0,
27.7218,21.1521,0,
27.8423,21.3499,0,
27.9628,21.5445,0,
28.0833,21.7355,0,
28.2039,21.9229,0,
28.3244,22.1075,0,
28.4449,22.2904,0,
28.5654,22.4731,0,
28.6860,22.6570,0,
28.8065,22.8430,0,
28.9270,23.0316,0,
29.0476,23.2230,0,
29.1681,23.4170,0,
29.2886,23.6131,0,
29.4092,23.8105,0,
29.5297,24.0086,0,
29.6502,24.2071,0,
29.7707,24.4056,0,
29.8913,24.6043,0,
30.0118,24.8032,0,
30.1323,25.0023,0,
30.2529,25.2014,0,
30.3734,25.4003,0,
30.4939,25.5991,0,
30.6145,25.7979,0,
30.7350,25.9974,0,
30.8555,26.1987,0,
30.9760,26.4028,0,
31.0966,26.6109,0,
31.2171,26.8237,0,
31.3376,27.0419,0,
31.4581,27.2655,0,
31.5787,27.4943,0,
31.6992,27.7274,0,
31.8197,27.9641,0,
31.9403,28.2035,0,
32.0608,28.4451,0,
32.1813,28.6886,0,
32.3019,28.9335,0,
32.4224,29.1797,0,
32.5429,29.4270,0,
32.6634,29.6751,0,
32.7840,29.9240,0,
32.9045,30.1734,0,
33.0250,30.8577,0,
33.1456,31.1084,0,
33.2661,31.3592,0,
33.3866,31.6104,0,
33.5072,31.8622,0,
33.6277,32.1151,0,
33.7482,32.3692,0,
33.8687,32.6276,0,
33.9893,32.8872,0,
34.1098,33.1476,0,
34.2303,33.4083,0,
34.3509,33.6721,0,
34.4714,33.9353,0,
34.5919,34.1977,0,
34.7124,34.4592,0,
34.8330,34.7231,0,
34.9535,34.9867,0,
35.0740,35.2498,0,
35.1946,35.5123,0,
35.3151,35.7769,0,
35.4356,36.0407,0,
35.5562,36.3038,0,
35.6767,36.5668,0,
35.7972,36.8319,0,
35.9177,37.0985,0,
36.1618,37.6469,0,
36.6439,38.7843,0,
37.1261,40.4553,0,
37.6082,41.6069,0,
38.0904,42.7800,0,
38.5726,43.9659,0,
39.0547,45.1552,0,
39.5369,46.3420,0,
40.0190,47.5260,0,
40.5012,48.7164,0,
40.9833,49.9146,0,
41.4655,51.1194,0,
41.9477,52.3261,0,
42.4298,53.5333,0,
42.9120,54.7512,0,
43.3941,55.9837,0,
43.8763,57.2323,0,
44.3584,58.4920,0,
44.8406,59.7573,0,
45.3227,61.0346,0,
45.8049,62.3266,0,
46.2871,63.6317,0,
46.7692,64.9447,0,
47.2514,66.2631,0,
47.7335,67.5891,0,
48.2157,68.9207,0,
48.6979,70.2636,0,
49.1800,71.6202,0,
49.6622,72.9862,0,
50.1443,74.3627,0,
50.6265,75.7473,0,
51.1086,77.1383,0,
51.5908,78.5342,0,
52.0729,79.9375,0,
52.5551,81.3518,0,
53.0373,82.7722,0,
53.5194,84.1956,0,
54.0016,85.6202,0,
54.4837,87.0452,0,
54.9659,88.4750,0,
55.4481,89.9057,0,
55.9302,91.3330,0,
56.4124,92.7542,0,
56.8945,94.1720,0,
57.3767,95.5910,0,
57.8588,97.0073,0,
58.3410,98.4183,0,
58.8231,99.8218,0,
59.3053,101.2165,0,
59.7875,102.6075,0,
60.2696,103.9968,0,
60.7518,105.3825,0,
61.2339,106.7616,0,
61.7161,108.1334,0,
62.1983,109.5039,0,
62.6804,110.8724,0,
63.1626,112.2373,0,
63.6447,113.5953,0,
64.1269,114.9441,0,
64.6090,116.2874,0,
65.0912,117.6278,0,
65.5734,118.9670,0,
66.0555,120.3034,0,
66.5377,121.6353,0,
67.0198,122.9674,0,
67.5020,124.3012,0,
67.9841,125.6381,0,
68.4663,126.9798,0,
68.9484,128.3268,0,
69.4306,129.6834,0,
69.9128,131.0525,0,
70.3949,132.4369,0,
70.8771,133.8374,0,
71.3592,135.2536,0,
71.8414,136.6885,0,
72.3235,138.1470,0,
72.8057,139.6242,0,
73.2879,141.1210,0,
73.7700,142.6347,0,
74.2522,144.1640,0,
74.7343,145.7067,0,
75.2165,147.2622,0,
75.6986,148.8308,0,
76.1808,150.4120,0,
76.6630,152.0059,0,
77.1451,153.6091,0,
77.6273,155.2225,0,
78.1094,156.8467,0,
78.5916,158.4797,0,
79.0737,160.1218,0,
79.5559,161.7746,0,
80.0380,163.4384,0,
80.5202,165.1116,0,
81.0024,166.7930,0,
81.4845,168.4838,0,
81.9667,170.1808,0,
82.4488,171.8809,0,
82.9310,173.5817,0,
83.4132,175.2794,0,
83.8953,176.9687,0,
84.3775,178.6485,0,
84.8596,180.3163,0,
85.3418,181.9701,0,
85.8239,183.6085,0,
86.3061,185.2296,0,
86.7883,186.8318,0,
87.2704,188.4159,0,
87.7526,189.9831,0,
88.2347,191.5346,0,
88.7169,193.0719,0,
89.1990,194.5972,0,
89.6812,196.1122,0,
90.1633,197.6190,0,
90.6455,199.1192,0,
91.1277,200.6145,0,
91.6098,202.1056,0,
92.0920,203.5938,0,
92.5741,205.0803,0,
93.0563,206.5642,0,
93.5384,208.0454,0,
94.0206,209.5235,0,
94.5028,210.9984,0,
94.9849,212.4684,0,
95.4671,213.9316,0,
95.9492,215.3820,0,
96.4314,216.8289,0,
96.9136,218.2699,0,
97.3957,219.7033,0,
97.8779,221.1294,0,
98.3600,222.5517,0,
98.8422,223.9711,0,
99.3243,225.3866,0,
99.8065,226.7957,0,
100.2887,228.1993,0,
100.7708,229.6001,0,
101.2530,230.9961,0,
101.7351,232.3854,0,
102.2173,233.7677,0,
102.6994,235.1414,0,
103.1816,236.5067,0,
103.6637,237.8644,0,
104.1459,239.2146,0,
104.6281,240.5549,0,
105.1102,241.8829,0,
105.5924,243.1997,0,
106.0745,244.5046,0,
106.5567,245.7976,0,
107.0388,247.0793,0,
107.5210,248.3485,0,
108.0032,249.6056,0,
108.4853,250.8513,0,
108.9675,252.0871,0,
109.4496,253.3134,0,
109.9318,254.5305,0,
110.4139,255.7410,0,
110.8961,256.9443,0,
111.3783,258.1399,0,
111.8604,259.3284,0,
112.3426,260.5081,0,
112.8247,261.6791,0,
113.3069,262.8425,0,
113.7890,264.0003,0,
114.2712,265.1522,0,
114.7533,266.2974,0,
115.2355,267.4368,0,
115.7177,268.5694,0,
116.1998,269.6965,0,
116.6820,270.8207,0,
117.1641,271.9417,0,
117.6463,273.0597,0,
118.1285,274.1755,0,
118.6106,275.2916,0,
119.0928,276.4107,0,
119.5749,277.5333,0,
120.0571,278.6598,0,
120.5392,279.7888,0,
121.0214,280.9212,0,
121.5036,282.0608,0,
121.9857,283.2073,0,
122.4679,284.3584,0,
122.9500,285.5121,0,
123.4322,286.6691,0,
123.9143,287.8310,0,
124.3965,288.9979,0,
124.8786,290.1685,0,
125.3608,291.3394,0,
125.8430,292.5097,0,
126.3251,293.6812,0,
126.8073,294.8530,0,
127.2894,296.0228,0,
127.7716,297.1886,0,
128.2537,298.3511,0,
128.7359,299.5125,0,
129.2181,300.6742,0,
129.7002,301.8362,0,
130.1824,302.9962,0,
130.6645,304.1538,0,
131.1467,305.3120,0,
131.6288,306.4723,0,
132.1110,307.6346,0,
132.5932,308.7983,0,
133.0753,309.9630,0,
133.5575,311.1292,0,
134.0396,312.2977,0,
134.5218,313.4691,0,
135.0040,314.6421,0,
135.4861,315.8161,0,
135.9683,316.9927,0,
136.4504,318.1712,0,
136.9326,319.3494,0,
137.4147,320.5254,0,
137.8969,321.6986,0,
138.3790,322.8694,0,
138.8612,324.0385,0,
139.3434,325.2060,0,
139.8255,326.3705,0,
140.3077,327.5308,0,
140.7898,328.6880,0,
141.2720,329.8427,0,
141.7541,330.9954,0,
142.2363,332.1477,0,
142.7185,333.3006,0,
143.2006,334.4533,0,
143.6828,335.6043,0,
144.1649,336.7548,0,
144.6471,337.9061,0,
145.1292,339.0587,0,
145.6114,340.2132,0,
146.0936,341.3683,0,
146.5757,342.5220,0,
147.0579,343.6741,0,
147.5400,344.8240,0,
148.0222,345.9698,0,
148.5043,347.1099,0,
148.9865,348.2443,0,
149.4686,349.3727,0,
149.9508,350.4943,0,
150.4330,351.6094,0,
150.9151,352.7160,0,
151.3973,353.8140,0,
151.8794,354.9054,0,
152.3616,355.9929,0,
152.8438,357.0766,0,
153.3259,358.1563,0,
153.8081,359.2341,0,
154.2902,360.3122,0,
154.7724,361.3931,0,
155.2545,362.4780,0,
155.7367,363.5662,0,
156.2189,364.6581,0,
156.7010,365.7557,0,
157.1832,366.8602,0,
157.6653,367.9703,0,
158.1475,369.0845,0,
158.6296,370.2016,0,
159.1118,371.3203,0,
159.5940,372.4398,0,
160.0761,373.5604,0,
160.5583,374.6818,0,
161.0404,375.8015,0,
161.5226,376.9182,0,
162.0047,378.0324,0,
162.4869,379.1447,0,
162.9691,380.2554,0,
163.4512,381.3643,0,
163.9334,382.4710,0,
164.4155,383.5774,0,
164.8977,384.6859,0,
165.3798,385.7969,0,
165.8620,386.9097,0,
166.3442,388.0230,0,
166.8263,389.1381,0,
167.3085,390.2568,0,
167.7906,391.3799,0,
168.2728,392.5072,0,
168.7549,393.6361,0,
169.2371,394.7654,0,
169.7192,395.8969,0,
170.2014,397.0324,0,
170.6836,398.1720,0,
171.1657,399.3143,0,
171.6479,400.4587,0,
172.1300,401.6064,0,
172.6122,402.7598,0,
173.0943,403.9209,0,
173.5765,405.0890,0,
174.0587,406.2640,0,
174.5408,407.4486,0,
175.0230,408.6453,0,
175.5051,409.8539,0,
175.9873,411.0747,0,
176.4694,412.3076,0,
176.9516,413.5518,0,
177.4338,414.8072,0,
177.9159,416.0743,0,
178.3981,417.3524,0,
178.8802,418.6395,0,
179.3624,419.9348,0,
179.8445,421.2382,0,
180.3267,422.5489,0,
180.8089,423.8652,0,
181.2910,425.1859,0,
181.7732,426.5101,0,
182.2553,427.8369,0,
182.7375,429.1665,0,
183.2196,430.4977,0,
183.7018,431.8290,0,
184.1840,433.1586,0,
184.6661,434.4867,0,
185.1483,435.8143,0,
185.6304,437.1406,0,
186.1126,438.4644,0,
186.5947,439.7865,0,
187.0769,441.1074,0,
187.5591,442.4263,0,
188.0412,443.7416,0,
188.5234,445.0517,0,
189.0055,446.3531,0,
189.4877,447.6440,0,
189.9698,448.9264,0,
190.4520,450.2031,0,
190.9341,451.4734,0,
191.4163,452.7340,0,
191.8985,453.9840,0,
192.3806,455.2265,0,
192.8628,456.4647,0,
193.3449,457.7028,0,
193.8271,458.9443,0,
194.3092,460.1900,0,
194.7914,461.4426,0,
195.2736,462.7076,0,
195.7557,463.9891,0,
196.2379,465.2875,0,
196.7200,466.6021,0,
