wavenumber(cm-1),absorption_coefficient(none),err,quality
128.2537,186.1632,0,
128.7359,188.4480,0,
129.2181,188.2208,0,
129.7002,189.1790,0,
130.1824,191.1495,0,
130.6645,191.2439,0,
131.1467,192.9681,0,
131.6288,194.3888,0,
132.1110,193.9143,0,
132.5932,195.6814,0,
133.0753,197.1107,0,
133.5575,197.4394,0,
134.0396,199.8184,0,
134.5218,200.6280,0,
135.0040,200.8027,0,
135.4861,203.1590,0,
135.9683,203.9060,0,
136.4504,204.8173,0,
136.9326,207.1906,0,
137.4147,207.3955,0,
137.8969,208.3429,0,
138.3790,210.3644,0,
138.8612,210.5345,0,
139.3434,212.1720,0,
139.8255,213.8615,0,
140.3077,213.6997,0,
140.7898,215.4358,0,
141.2720,216.8277,0,
141.7541,217.1164,0,
142.2363,219.4767,0,
142.7185,220.5872,0,
143.2006,220.8727,0,
143.6828,223.1239,0,
144.1649,223.9088,0,
144.6471,224.8043,0,
145.1292,227.2360,0,
145.6114,227.6774,0,
146.0936,228.6519,0,
146.5757,230.6932,0,
147.0579,230.9010,0,
147.5400,232.3738,0,
148.0222,234.2320,0,
148.5043,234.2717,0,
148.9865,236.0482,0,
149.4686,237.7562,0,
149.9508,238.0604,0,
150.4330,240.0418,0,
150.9151,241.1725,0,
151.3973,241.5779,0,
151.8794,243.7970,0,
152.3616,244.5332,0,
152.8438,245.1484,0,
153.3259,247.3080,0,
153.8081,247.8807,0,
154.2902,249.2070,0,
154.7724,251.4757,0,
155.2545,251.6888,0,
155.7367,252.9659,0,
156.2189,254.8658,0,
156.7010,255.1993,0,
157.1832,257.0119,0,
157.6653,258.4802,0,
158.1475,258.6461,0,
158.6296,260.7007,0,
159.1118,261.9957,0,
159.5940,262.5569,0,
160.0761,266.4345,0,
160.5583,267.1916,0,
161.0404,267.7174,0,
161.5226,270.7259,0,
162.0047,271.1005,0,
162.4869,271.9073,0,
162.9691,274.7479,0,
163.4512,275.0157,0,
163.9334,276.6173,0,
164.4155,279.2167,0,
164.8977,278.9748,0,
165.3798,280.7094,0,
165.8620,282.9156,0,
166.3442,283.0594,0,
166.8263,285.5581,0,
167.3085,287.0983,0,
167.7906,287.0370,0,
168.2728,289.8554,0,
168.7549,291.2652,0,
169.2371,291.8113,0,
169.7192,294.6445,0,
170.2014,295.1609,0,
170.6836,295.5320,0,
171.1657,299.2424,0,
171.6479,299.7631,0,
172.1300,301.1247,0,
172.6122,303.9678,0,
173.0943,303.3821,0,
173.5765,305.6000,0,
174.0587,308.8358,0,
174.5408,308.4525,0,
175.0230,310.5910,0,
175.5051,312.0970,0,
175.9873,311.5478,0,
176.4694,314.9936,0,
176.9516,316.7800,0,
177.4338,316.5194,0,
177.9159,319.3174,0,
178.3981,319.8806,0,
178.8802,320.5133,0,
179.3624,323.9718,0,
179.8445,323.9748,0,
180.3267,324.8085,0,
180.8089,327.7351,0,
181.2910,327.6317,0,
181.7732,330.0540,0,
182.2553,333.3229,0,
182.7375,332.7918,0,
183.2196,335.0081,0,
183.7018,337.5448,0,
184.1840,337.7478,0,
184.6661,340.9754,0,
185.1483,342.5401,0,
185.6304,342.2731,0,
186.1126,345.4470,0,
186.5947,346.7929,0,
187.0769,347.6915,0,
187.5591,351.1150,0,
188.0412,351.2748,0,
188.5234,352.1902,0,
189.0055,355.7340,0,
189.4877,356.0939,0,
189.9698,357.7359,0,
190.4520,360.3688,0,
190.9341,359.9882,0,
191.4163,362.4314,0,
191.8985,365.3235,0,
192.3806,365.4438,0,
192.8628,368.2332,0,
193.3449,369.8942,0,
193.8271,369.7743,0,
194.3092,373.1550,0,
194.7914,374.7249,0,
195.2736,374.9844,0,
195.7557,377.9145,0,
196.2379,378.6169,0,
196.7200,379.9105,0,
197.2022,383.4654,0,
197.6843,383.6691,0,
198.1665,384.9465,0,
198.6487,387.8192,0,
199.1308,387.9786,0,
199.6130,390.3524,0,
200.0951,392.7938,0,
200.5773,392.3416,0,
201.0594,395.0282,0,
201.5416,397.5079,0,
202.0238,397.8508,0,
202.5059,400.9070,0,
202.9881,402.2288,0,
203.4702,402.4838,0,
203.9524,405.8158,0,
204.4346,407.0103,0,
204.9167,408.0643,0,
205.3989,411.1891,0,
205.8810,411.4071,0,
206.3632,412.9088,0,
206.8453,416.4112,0,
207.3275,417.1110,0,
207.8097,419.5065,0,
208.2918,422.3040,0,
208.7740,422.5978,0,
209.2561,425.9824,0,
209.7383,429.0742,0,
210.2204,429.6995,0,
210.7026,433.0894,0,
211.1847,435.1021,0,
211.6669,435.9502,0,
212.1491,440.0768,0,
212.6312,441.9656,0,
213.1134,442.8682,0,
213.5955,445.8954,0,
214.0777,446.4380,0,
214.5598,448.1087,0,
215.0420,451.9492,0,
215.5242,452.9034,0,
216.0063,455.1200,0,
